timestamp,total_memory,used_memory,free_memory
2024-05-16 02:50:05,60258,1128,39840
2024-05-16 02:50:10,60258,1668,39300
2024-05-16 02:50:15,60258,19087,21881
2024-05-16 02:50:20,60258,30137,10831
2024-05-16 02:50:25,60258,38249,2719
2024-05-16 02:50:30,60258,38254,2714
2024-05-16 02:50:36,60258,38258,2710
2024-05-16 02:50:41,60258,38252,2715
2024-05-16 02:50:46,60258,39945,1023
2024-05-16 02:50:51,60258,40318,1204
2024-05-16 02:50:56,60258,40296,1226
2024-05-16 02:51:01,60258,40300,1222
2024-05-16 02:51:06,60258,40304,1218
2024-05-16 02:51:11,60258,40307,1215
2024-05-16 02:51:16,60258,40303,1219
2024-05-16 02:51:21,60258,40300,1222
2024-05-16 02:51:26,60258,40297,1225
2024-05-16 02:51:31,60258,40301,1221
2024-05-16 02:51:36,60258,40306,1216
2024-05-16 02:51:41,60258,40304,1218
2024-05-16 02:51:46,60258,40301,1221
2024-05-16 02:51:51,60258,40305,1217
2024-05-16 02:51:56,60258,40309,1213
2024-05-16 02:52:01,60258,40313,1209
